"nombre_carrera","fecha_inscripcion","anio_inscripcion","sexo","pais_nacionalidad","tipo_inscripcion","correlativo_estudiante"
INGENIERIA CIVIL,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"389e7d6afd6ce372dc8434069d2aaf64"
INGENIERIA CIVIL,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"51b5003b630d26c608d36fa1599fbca2"
INGENIERIA CIVIL,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"5d3b7203e126a82c6f00fcc16ee9e172"
INGENIERIA ELECTRONICA,2013-11-04,"2014",M,GUATEMALA,REINGRESO,e7f9ec59d111d6b15b0b74055ac06d53
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"60e4b79829f3d6d70f13880071182959"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"7d29fa08f4a6ac7db0934df813c4d75a"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-04,"2014",M,GUATEMALA,REINGRESO,ae7be706e990d4466cc4fb304af1c66f
INGENIERIA INDUSTRIAL,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"31fdb00ee1daf1ed31668092e56c1a47"
INGENIERIA INDUSTRIAL,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"7e3faf4d3976d667a0a48fda0fad523e"
INGENIERIA INDUSTRIAL,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"97ae7e08d02c29d8e80e807917c38999"
INGENIERIA INDUSTRIAL,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"980b54b0267480362d2031400bcef1a3"
INGENIERIA MECANICA ELECTRICA,2013-11-04,"2014",M,GUATEMALA,REINGRESO,"435ab8ebe07e52a5ba3066f19e3df75c"
INGENIERIA QUIMICA,2013-11-04,"2014",M,GUATEMALA,REINGRESO,ac5de4b498f84c0fb2d6639446f2c939
LICENCIATURA EN FISICA APLICADA,2013-11-04,"2014",M,GUATEMALA,REINGRESO,c4f9b0df230d0e128b0b6465c74516d4
INGENIERIA CIVIL,2013-11-05,"2014",M,GUATEMALA,REINGRESO,"4df1063a38604ce0ae9825b920ec22f3"
INGENIERIA CIVIL,2013-11-05,"2014",M,GUATEMALA,REINGRESO,"545075160ca6c35ffc5c4633548ee9dc"
INGENIERIA CIVIL,2013-11-05,"2014",M,GUATEMALA,REINGRESO,c485e940fd4370e2604f2c2852b81888
INGENIERIA ELECTRICA,2013-11-05,"2014",M,GUATEMALA,REINGRESO,a99f571962ad65904e3f5f780835acc5
INGENIERIA ELECTRONICA,2013-11-05,"2014",M,GUATEMALA,REINGRESO,cf3f028e7918e78521fd36d0e15a447f
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-05,"2014",F,GUATEMALA,REINGRESO,fb3725b15aab925fdf625ec03f9448be
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-05,"2014",M,GUATEMALA,REINGRESO,"3425b41a3cc6298a7b778d425f7177f8"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-05,"2014",M,GUATEMALA,REINGRESO,e7c8f98617972fc3583dc653b3a0c574
INGENIERIA CIVIL,2013-11-06,"2014",M,GUATEMALA,REINGRESO,"58189668c21feee9162b0f4011c22073"
INGENIERIA ELECTRONICA,2013-11-06,"2014",M,GUATEMALA,REINGRESO,"4aaac2738e2b67d638e6582a44ca8eaf"
INGENIERIA ELECTRONICA,2013-11-06,"2014",M,GUATEMALA,REINGRESO,f9311d0ebb5e5218abc42acdc369d626
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-06,"2014",M,GUATEMALA,PRIMER INGRESO (TRASLADO),"78f5d13d115c7cfd114ec256bd076fda"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-06,"2014",M,GUATEMALA,REINGRESO,"2239a9ba7203e4d7e3b9833c18397da2"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-06,"2014",M,GUATEMALA,REINGRESO,"488a47eed8596a6c99f400d0823afbe6"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-06,"2014",M,GUATEMALA,REINGRESO,fc0603b2beaab4711e7a1ed7b3eb4067
INGENIERIA INDUSTRIAL,2013-11-06,"2014",M,GUATEMALA,REINGRESO,"8c290757aba1ababd3b331c3659c402e"
INGENIERIA MECANICA,2013-11-06,"2014",M,GUATEMALA,REINGRESO,bede646372788f224755657d20b760be
INGENIERIA CIVIL,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"0f12db77202714f6281fb30db118621d"
INGENIERIA CIVIL,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"798312888b062840e5e70b1874ab2264"
INGENIERIA CIVIL,2013-11-07,"2014",M,GUATEMALA,REINGRESO,a2132ebd42ca50810527c4331f9e77e2
INGENIERIA ELECTRICA,2013-11-07,"2014",F,GUATEMALA,REINGRESO,"04d518e6bc37e994c9fbcc96ad0d70a7"
INGENIERIA ELECTRICA,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"9f0ee9e92112c5fa4719ca2dd44117e2"
INGENIERIA ELECTRONICA,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"19de9c22972f1be1d87e876cacce6c9d"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",F,GUATEMALA,REINGRESO,"64e78870c087f9ee69ba1ab950415526"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"16bf1dcd98c083e8d32a3e528b2b543b"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"2ed489fd60bd518648387242d76a59f4"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"3f21cba905c0d0296cd36787cf1f11dc"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"81870095e5be76150d600db3a6041805"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"863d4a10632d0c9979cd855582da1037"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"9feff66f706a5f9defcaab4efcea6cab"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",M,GUATEMALA,REINGRESO,b5ce59ff2b46120a3966c71d04b06a09
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-07,"2014",M,GUATEMALA,REINGRESO,e53af5c30db4ef4c861265aa07768a08
INGENIERIA INDUSTRIAL,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"04168fc0eec29af66e8bed213f10ae81"
INGENIERIA INDUSTRIAL,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"5dddbad1462be32f3330105f537de35a"
INGENIERIA INDUSTRIAL,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"8e7f827e931509430c4df629595e6aca"
INGENIERIA MECANICA,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"16c954399b2a7c1ad3aa37a69aef7439"
INGENIERIA MECANICA,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"7975971da221d78c0d1aaf7548745187"
INGENIERIA MECANICA,2013-11-07,"2014",M,GUATEMALA,REINGRESO,"7b5776284c9a9987ad10f45021673aa3"
INGENIERIA MECANICA ELECTRICA,2013-11-07,"2014",M,GUATEMALA,REINGRESO,e7a3cca992b8d6bef076a0d1f394d4df
INGENIERIA CIVIL,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"779b147e2e0d475e4424a9517383364a"
INGENIERIA CIVIL,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"9c5e3100fc25d038eb207dc8c02bb5f2"
INGENIERIA ELECTRICA,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"3697b0fcc31210268bededce1f58c930"
INGENIERIA ELECTRICA,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"93e62e082231e46e553498c66c0e0a49"
INGENIERIA ELECTRONICA,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"51ce08d2686ef840dae5cc18619e9982"
INGENIERIA ELECTRONICA,2013-11-08,"2014",M,GUATEMALA,REINGRESO,aa0835eebe96a2bc55108df4aba62a6a
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"6bd8f6320c1243e8f9135fb976f808d1"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-08,"2014",M,GUATEMALA,REINGRESO,aed7c8c59d44413f1e4b78f095d1c4e9
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-08,"2014",M,GUATEMALA,REINGRESO,c453ede3f3ba307ac54f7a6839eb38a6
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-08,"2014",M,GUATEMALA,REINGRESO,e2f17ae4042637d6b470fa9feb2b4e0c
INGENIERIA INDUSTRIAL,2013-11-08,"2014",F,GUATEMALA,REINGRESO,"84ef823c1fb0c9b83b822e6f892351a7"
INGENIERIA INDUSTRIAL,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"01c59e09503eb9c862acf9e8f8062c11"
INGENIERIA INDUSTRIAL,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"307a53e49d8b8400ff21fe0fd28544dd"
INGENIERIA INDUSTRIAL,2013-11-08,"2014",M,GUATEMALA,REINGRESO,d82ecb015b45239f5b7cd298ec31e8f7
INGENIERIA MECANICA,2013-11-08,"2014",M,GUATEMALA,REINGRESO,"4478e4f57d5c0e25aa14902d2ddc5c20"
INGENIERIA QUIMICA,2013-11-08,"2014",M,GUATEMALA,REINGRESO,cc5cfb380072c1a26f18c4adf9977a18
INGENIERIA CIVIL,2013-11-09,"2014",M,GUATEMALA,REINGRESO,"09df59ff9a7cbc1d35e1cacbff64c774"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-09,"2014",M,GUATEMALA,REINGRESO,"31ab959e2171db1cb6094b4be09760a2"
INGENIERIA ELECTRONICA,2013-11-10,"2014",M,GUATEMALA,REINGRESO,a855bd9ab8c3f1c75840da974a6b87f9
INGENIERIA MECANICA,2013-11-10,"2014",M,GUATEMALA,REINGRESO,eb69838dfda5e29db4acc20d7c21a04d
INGENIERIA CIVIL,2013-11-11,"2014",M,GUATEMALA,REINGRESO,b75cf3fd421813e0dcde43e518e3bd36
INGENIERIA ELECTRICA,2013-11-11,"2014",M,GUATEMALA,REINGRESO,"353a1992dd8b0827a7fc268c1eb4668f"
INGENIERIA ELECTRICA,2013-11-11,"2014",M,GUATEMALA,REINGRESO,d647cabf6b6f14118772d70b908fa1e4
INGENIERIA ELECTRONICA,2013-11-11,"2014",M,GUATEMALA,REINGRESO,"159b6b73c07d4725bccf7ba3b0c38587"
INGENIERIA ELECTRONICA,2013-11-11,"2014",M,GUATEMALA,REINGRESO,ab1d5858d287d335292fcf3a36c421c0
INGENIERIA ELECTRONICA,2013-11-11,"2014",M,GUATEMALA,REINGRESO,b60297ff34224e3b7ff9ec630d241f75
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-11,"2014",F,GUATEMALA,REINGRESO,"39839fcf1d623bfd080db1ce1f2af3c8"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-11,"2014",M,GUATEMALA,REINGRESO,"1ab1b2e3ed252c26d90738c6c31b3cf5"
INGENIERIA EN CIENCIAS Y SISTEMAS,2013-11-11,"2014",M,GUATEMALA,REINGRESO,"6a0d09810a513499b57cbe348999b48d"
